date,value
2020-10-24,1250
2020-10-25,1265
2020-10-26,1281
2020-10-27,1297
2020-10-28,1313
2020-10-29,1330
2020-10-30,1346
2020-10-31,1363
2020-11-01,1380
2020-11-02,1397
2020-11-03,1415
2020-11-04,1432
2020-11-05,1450
2020-11-06,1468
2020-11-07,1487
2020-11-08,1505
2020-11-09,1524
2020-11-10,1543
2020-11-11,1563
2020-11-12,1582
2020-11-13,1602
2020-11-14,1622
2020-11-15,1642
2020-11-16,1663
2020-11-17,1684
2020-11-18,1705
2020-11-19,1726
2020-11-20,1747
2020-11-21,1769
2020-11-22,1791
2020-11-23,1814
2020-11-24,1836
2020-11-25,1859
2020-11-26,1883
2020-11-27,1906
2020-11-28,1930
2020-11-29,1954
2020-11-30,1979
2020-12-01,2003
2020-12-02,2028
2020-12-03,2054
2020-12-04,2079
2020-12-05,2105
2020-12-06,2132
2020-12-07,2158
2020-12-08,2185
2020-12-09,2213
2020-12-10,2240
2020-12-11,2268
2020-12-12,2297
2020-12-13,2325
2020-12-14,2354
2020-12-15,2384
2020-12-16,2414
2020-12-17,2444
2020-12-18,2474
2020-12-19,2505
2020-12-20,2537
2020-12-21,2568
2020-12-22,2600
2020-12-23,2633
2020-12-24,2666
2020-12-25,2699
2020-12-26,2733
2020-12-27,2767
2020-12-28,2802
2020-12-29,2837
2020-12-30,2872
2020-12-31,2908
2021-01-01,2944
2021-01-02,2981
2021-01-03,3018
2021-01-04,3056
2021-01-05,3094
2021-01-06,3133
2021-01-07,3172
2021-01-08,3212
2021-01-09,3252
2021-01-10,3293
2021-01-11,3334
2021-01-12,3375
2021-01-13,3418
2021-01-14,3460
2021-01-15,3504
2021-01-16,3547
2021-01-17,3592
2021-01-18,3637
2021-01-19,3682
2021-01-20,3728
2021-01-21,3775
2021-01-22,3822
2021-01-23,3870
2021-01-24,3918
2021-01-25,3967
2021-01-26,4017
2021-01-27,4067
2021-01-28,4118
2021-01-29,4169
2021-01-30,4221
2021-01-31,4274
2021-02-01,4327
2021-02-02,4382
2021-02-03,4436
2021-02-04,4492
2021-02-05,4548
2021-02-06,4605
2021-02-07,4662
2021-02-08,4721
2021-02-09,4780
2021-02-10,4839
2021-02-11,4900
2021-02-12,4961
2021-02-13,5023
2021-02-14,5086
2021-02-15,5149
2021-02-16,5214
2021-02-17,5279
2021-02-18,5345
2021-02-19,5412
2021-02-20,5479
2021-02-21,5548
2021-02-22,5617
2021-02-23,5688
2021-02-24,5759
2021-02-25,5831
2021-02-26,5904
2021-02-27,5977
2021-02-28,6052
2021-03-01,6128
2021-03-02,6204
2021-03-03,6282
2021-03-04,6360
2021-03-05,6440
2021-03-06,6520
2021-03-07,6602
2021-03-08,6684
2021-03-09,6768
2021-03-10,6853
2021-03-11,6938
2021-03-12,7025
2021-03-13,7113
2021-03-14,7202
2021-03-15,7292
2021-03-16,7383
2021-03-17,7475
2021-03-18,7569
2021-03-19,7663
2021-03-20,7759
2021-03-21,7856
2021-03-22,7954
2021-03-23,8054
2021-03-24,8154
2021-03-25,8256
2021-03-26,8359
2021-03-27,8464
2021-03-28,8570
2021-03-29,8677
2021-03-30,8785
2021-03-31,8895
2021-04-01,9006
2021-04-02,9119
2021-04-03,9233
2021-04-04,9348
2021-04-05,9465
2021-04-06,9583
2021-04-07,9703
2021-04-08,9824
2021-04-09,9947
2021-04-10,10072
2021-04-11,10197
2021-04-12,10325
2021-04-13,10454
2021-04-14,10585
2021-04-15,10717
2021-04-16,10851
2021-04-17,10987
2021-04-18,11124
2021-04-19,11263
2021-04-20,11404
2021-04-21,11546
2021-04-22,11691
2021-04-23,11837
2021-04-24,11985
2021-04-25,12135
2021-04-26,12286
2021-04-27,12440
2021-04-28,12595
2021-04-29,12753
2021-04-30,12912
2021-05-01,13074
2021-05-02,13237
2021-05-03,13402
2021-05-04,13570
2021-05-05,13740
2021-05-06,13911
2021-05-07,14085
2021-05-08,14261
2021-05-09,14440
2021-05-10,14620
2021-05-11,14803
2021-05-12,14988
2021-05-13,15175
2021-05-14,15365
2021-05-15,15557
2021-05-16,15751
2021-05-17,15948
2021-05-18,16148
2021-05-19,16349
2021-05-20,16554
2021-05-21,16761
2021-05-22,16970
2021-05-23,17182
2021-05-24,17397
2021-05-25,17615
2021-05-26,17835
2021-05-27,18058
2021-05-28,18284
2021-05-29,18512
2021-05-30,18743
2021-05-31,18978
2021-06-01,19215
2021-06-02,19455
2021-06-03,19698
2021-06-04,19945
2021-06-05,20194
2021-06-06,20446
2021-06-07,20702
2021-06-08,20961
2021-06-09,21223
2021-06-10,21488
2021-06-11,21757
2021-06-12,22029
2021-06-13,22304
2021-06-14,22583
2021-06-15,22865
2021-06-16,23151
2021-06-17,23440
2021-06-18,23733
2021-06-19,24030
2021-06-20,24330
2021-06-21,24634
2021-06-22,24942
2021-06-23,25254
2021-06-24,25570
2021-06-25,25889
2021-06-26,26213
2021-06-27,26541
2021-06-28,26872
2021-06-29,27208
2021-06-30,27548
2021-07-01,27893
2021-07-02,28241
2021-07-03,28594
2021-07-04,28952
2021-07-05,29314
2021-07-06,29680
2021-07-07,30051
2021-07-08,30427
2021-07-09,30807
2021-07-10,31192
2021-07-11,31582
2021-07-12,31977
2021-07-13,32377
2021-07-14,32781
2021-07-15,33191
2021-07-16,33606
2021-07-17,34026
2021-07-18,34451
2021-07-19,34882
