date,value
2021-10-25,116291
2021-10-26,116191
2021-10-27,116091
2021-10-28,115991
2021-10-29,115891
2021-10-30,115791
2021-10-31,115691
2021-11-01,115591
2021-11-02,115491
2021-11-03,115391
2021-11-04,115291
2021-11-05,115191
2021-11-06,115091
2021-11-07,114991
2021-11-08,114891
2021-11-09,114791
2021-11-10,114691
2021-11-11,114591
2021-11-12,114491
2021-11-13,114391
2021-11-14,114291
2021-11-15,114191
2021-11-16,114091
2021-11-17,113991
2021-11-18,113891
2021-11-19,113791
2021-11-20,113691
2021-11-21,113591
2021-11-22,113491
2021-11-23,113391
2021-11-24,113291
2021-11-25,113191
2021-11-26,113091
2021-11-27,112991
2021-11-28,112891
2021-11-29,112791
2021-11-30,112691
2021-12-01,112591
2021-12-02,112491
2021-12-03,112391
2021-12-04,112291
2021-12-05,112191
2021-12-06,112091
2021-12-07,111991
2021-12-08,111891
2021-12-09,111791
2021-12-10,111691
2021-12-11,111591
2021-12-12,111491
2021-12-13,111391
2021-12-14,111291
2021-12-15,111191
2021-12-16,111091
2021-12-17,110991
2021-12-18,110891
2021-12-19,110791
2021-12-20,110691
2021-12-21,110591
2021-12-22,110491
2021-12-23,110391
2021-12-24,110291
2021-12-25,110191
2021-12-26,110091
2021-12-27,109991
2021-12-28,109891
2021-12-29,109791
2021-12-30,109691
2021-12-31,109591
2022-01-01,109491
2022-01-02,109391
2022-01-03,109291
2022-01-04,109191
2022-01-05,109091
2022-01-06,108991
2022-01-07,108891
2022-01-08,108791
2022-01-09,108691
2022-01-10,108591
2022-01-11,108491
2022-01-12,108391
2022-01-13,108291
2022-01-14,108191
2022-01-15,108091
2022-01-16,107991
2022-01-17,107891
2022-01-18,107791
2022-01-19,107691
2022-01-20,107591
2022-01-21,107491
2022-01-22,107391
2022-01-23,107291
2022-01-24,107191
2022-01-25,107091
2022-01-26,106991
2022-01-27,106891
2022-01-28,106791
2022-01-29,106691
2022-01-30,106591
2022-01-31,106491
2022-02-01,106391
2022-02-02,106291
2022-02-03,106191
2022-02-04,106091
2022-02-05,105991
2022-02-06,105891
2022-02-07,105791
2022-02-08,105691
2022-02-09,105591
2022-02-10,105491
2022-02-11,105391
2022-02-12,105291
2022-02-13,105191
2022-02-14,105091
2022-02-15,104991
2022-02-16,104891
2022-02-17,104791
2022-02-18,104691
2022-02-19,104591
2022-02-20,104491
2022-02-21,104391
2022-02-22,104291
2022-02-23,104191
2022-02-24,104091
2022-02-25,103991
2022-02-26,103891
2022-02-27,103791
2022-02-28,103691
2022-03-01,103591
2022-03-02,103491
2022-03-03,103391
2022-03-04,103291
2022-03-05,103191
2022-03-06,103091
2022-03-07,102991
2022-03-08,102891
2022-03-09,102791
2022-03-10,102691
2022-03-11,102591
2022-03-12,102491
2022-03-13,102391
2022-03-14,102291
2022-03-15,102191
2022-03-16,102091
2022-03-17,101991
2022-03-18,101891
2022-03-19,101791
2022-03-20,101691
2022-03-21,101591
2022-03-22,101491
2022-03-23,101391
2022-03-24,101291
2022-03-25,101191
2022-03-26,101091
2022-03-27,100991
2022-03-28,100891
2022-03-29,100791
2022-03-30,100691
2022-03-31,100591
2022-04-01,100491
2022-04-02,100391
2022-04-03,100291
2022-04-04,100191
2022-04-05,100091
2022-04-06,99991
2022-04-07,99891
2022-04-08,99791
2022-04-09,99691
2022-04-10,99591
2022-04-11,99491
2022-04-12,99391
2022-04-13,99291
2022-04-14,99191
2022-04-15,99091
2022-04-16,98991
2022-04-17,98891
2022-04-18,98791
2022-04-19,98691
2022-04-20,98591
2022-04-21,98491
2022-04-22,98391
2022-04-23,98291
2022-04-24,98191
2022-04-25,98091
2022-04-26,97991
2022-04-27,97891
2022-04-28,97791
2022-04-29,97691
2022-04-30,97591
2022-05-01,97491
2022-05-02,97391
2022-05-03,97291
2022-05-04,97191
2022-05-05,97091
2022-05-06,96991
2022-05-07,96891
2022-05-08,96791
2022-05-09,96691
2022-05-10,96591
2022-05-11,96491
2022-05-12,96391
2022-05-13,96291
2022-05-14,96191
2022-05-15,96091
2022-05-16,95991
2022-05-17,95891
2022-05-18,95791
2022-05-19,95691
2022-05-20,95591
2022-05-21,95491
2022-05-22,95391
2022-05-23,95291
2022-05-24,95191
2022-05-25,95091
2022-05-26,94991
2022-05-27,94891
2022-05-28,94791
2022-05-29,94691
2022-05-30,94591
2022-05-31,94491
2022-06-01,94391
2022-06-02,94291
2022-06-03,94191
2022-06-04,94091
2022-06-05,93991
2022-06-06,93891
2022-06-07,93791
2022-06-08,93691
2022-06-09,93591
2022-06-10,93491
2022-06-11,93391
2022-06-12,93291
2022-06-13,93191
2022-06-14,93091
2022-06-15,92991
2022-06-16,92891
2022-06-17,92791
2022-06-18,92691
2022-06-19,92591
2022-06-20,92491
2022-06-21,92391
2022-06-22,92291
2022-06-23,92191
2022-06-24,92091
2022-06-25,91991
2022-06-26,91891
2022-06-27,91791
2022-06-28,91691
2022-06-29,91591
2022-06-30,91491
2022-07-01,91391
2022-07-02,91291
2022-07-03,91191
2022-07-04,91091
2022-07-05,90991
2022-07-06,90891
2022-07-07,90791
2022-07-08,90691
2022-07-09,90591
2022-07-10,90491
2022-07-11,90391
2022-07-12,90291
2022-07-13,90191
2022-07-14,90091
2022-07-15,89991
2022-07-16,89891
2022-07-17,89791
2022-07-18,89691
2022-07-19,89591
2022-07-20,89491
2022-07-21,89391
2022-07-22,89291
2022-07-23,89191
2022-07-24,89091
2022-07-25,88991
2022-07-26,88891
2022-07-27,88791
2022-07-28,88691
2022-07-29,88591
2022-07-30,88491
2022-07-31,88391
2022-08-01,88291
2022-08-02,88191
2022-08-03,88091
2022-08-04,87991
2022-08-05,87891
2022-08-06,87791
2022-08-07,87691
2022-08-08,87591
2022-08-09,87491
2022-08-10,87391
2022-08-11,87291
2022-08-12,87191
2022-08-13,87091
2022-08-14,86991
2022-08-15,86891
2022-08-16,86791
2022-08-17,86691
2022-08-18,86591
2022-08-19,86491
2022-08-20,86391
2022-08-21,86291
2022-08-22,86191
2022-08-23,86091
